Feature,Subgroup Range,AUC (Advanced Fibrosis >1),AUC (Significant Fibrosis >2),Spearman Corr (Advanced Fibrosis >1),Spearman Corr (Significant Fibrosis >2),Max AUC
Spleen_Vl_Nor_BSA,"Others, None",0.9521739130434783,1.0,-0.46587925287661136,-0.24019223070763068,1.0
Liver/Spleen Volume,"Others, NAFL",0.7837037037037037,1.0,0.3039897959585697,0.18786728732554484,1.0
Spleen_Vl_Nor_BSA,"Others, None, NAFL",0.8092031425364759,1.0,-0.2960521615904378,-0.1659003790827993,1.0
Liver/Spleen HU,"Others, None",0.5956521739130436,1.0,-0.09855138041620624,-0.24019223070763068,1.0
Spleen_Vl_Nor_BSA,"Others, NAFL",0.8014814814814815,1.0,-0.3230387648959213,-0.18786728732554484,1.0
Liver/Spleen Volume,"Others, None, NAFL",0.8047138047138047,1.0,0.291753763600014,0.1659003790827993,1.0
Spleen_Vl_Nor_WH,"Others, NAFL",0.8074074074074074,1.0,-0.3293884212083718,-0.18786728732554484,1.0
Spleen_Vl_Nor_WH,"Others, None",0.9695652173913043,1.0,-0.48379768567955794,-0.24019223070763068,1.0
Spleen (Volume),"Others, None, NAFL",0.8159371492704826,1.0,-0.3024997585760734,-0.1659003790827993,1.0
Spleen (Volume),"Others, None",0.9652173913043478,1.0,-0.47931807747882127,-0.24019223070763068,1.0
Spleen (Volume),"Others, NAFL",0.8103703703703704,1.0,-0.33256324936459714,-0.18786728732554484,1.0
Spleen_Vl_Nor_WH,"Others, None, NAFL",0.8294051627384961,1.0,-0.3153949525473448,-0.1659003790827993,1.0
Liver/Spleen Volume,"Others, None",0.9043478260869565,1.0,0.41660356266850823,0.24019223070763068,1.0
DBP,"Others, None, NAFL",0.5044893378226711,0.9953271028037383,0.004301739306885688,-0.16447766399905978,0.9953271028037383
DBP,"Others, NAFL",0.5125925925925926,0.9939759036144578,-0.013501360632639616,-0.18571856059439446,0.9939759036144578
DBP,"Others, None",0.7260869565217392,0.99,-0.23317714495443195,-0.23562840150448025,0.99
PLT,Probable NASH,0.7083333333333333,0.9767441860465116,-0.2977823986036482,-0.407914620313336,0.9767441860465116
SBP,"Others, NAFL",0.6422222222222221,0.963855421686747,0.1524813183173128,-0.17438895482955477,0.963855421686747
Waist to Height,"Others, NAFL",0.514074074074074,0.9518072289156626,0.015080433742070036,-0.16975959698091403,0.9518072289156626
SBP,"Others, None, NAFL",0.6481481481481481,0.9485981308411215,0.14193573003096271,-0.148938167196183,0.9485981308411215
Liver/Spleen HU,"Others, None, NAFL",0.510662177328844,0.9439252336448598,-0.010208695227256474,-0.147294729092205,0.9439252336448598
Waist to Height,"Others, None, NAFL",0.5319865319865319,0.9345794392523364,0.03062608568176942,-0.14419378742710592,0.9345794392523364
SBP,"Others, None",0.6630434782608697,0.9299999999999999,0.16817565921195415,-0.20679938683312823,0.9299999999999999
Liver/Spleen HU,"Others, NAFL",0.517037037037037,0.927710843373494,0.018255261898295308,-0.1607057518085986,0.927710843373494
PLT,"NAFL, Probable NASH",0.598314606741573,0.9266666666666666,-0.1167311357427867,-0.24857588012805143,0.9266666666666666
LSM_C,"Others, None",0.9152173913043479,0.77,0.4443896757483302,0.1347327807944106,0.9152173913043479
PLT,"None, NAFL, Probable NASH",0.5865992414664981,0.9045698924731183,-0.09396360693656297,-0.212866530608777,0.9045698924731183
LSM,"Others, None",0.9043478260869565,0.74,0.4178247907795138,0.1156302375134154,0.9043478260869565
LSM_plus_Liver/Spleen HU,"Others, None",0.9043478260869565,0.74,0.41660356266850823,0.11529227073966274,0.9043478260869565
LSM_minus_Liver/Spleen HU,"Others, None",0.9043478260869565,0.74,0.41660356266850823,0.11529227073966274,0.9043478260869565
VFA (Area),"Others, NAFL",0.5807407407407408,0.9036144578313253,-0.08651406725713863,-0.1516519066362832,0.9036144578313253
