Feature,Subgroup Range,AUC (Steatosis Above None),AUC (Steatosis Above NAFL),AUC (Steatosis Above Probable NASH),Spearman Corr (Steatosis Above None),Spearman Corr (Steatosis Above NAFL),Spearman Corr (Steatosis Above Probable NASH),Max AUC
LSM,"None, NAFL, Probable NASH, NASH, Cirrhosis",0.7781413612565445,0.8202045328911001,0.8654706513958482,0.3042117977457374,0.5389029444641071,0.6241426723681489,0.8654706513958482
VFA (Area),"Others, Probable NASH",0.8607085346215781,0.8607085346215781,,0.6032894504792955,0.6032894504792955,,0.8607085346215781
LSM,"NAFL, Probable NASH, NASH, Cirrhosis",,0.8078685519769573,0.8538724624889673,,0.48928363597047614,0.6126497373131675,0.8538724624889673
Liver/Spleen HU,"Others, NASH",0.8524590163934427,0.8524590163934427,0.8524590163934427,-0.5631076376425016,-0.5631076376425016,-0.5631076376425016,0.8524590163934427
Alb,"None, NAFL, Probable NASH",0.8509304207119741,0.7737520128824478,,0.47706467838402306,0.4568890598381576,,0.8509304207119741
LSM_C,"None, NAFL, Probable NASH, NASH, Cirrhosis",0.7762870855148343,0.8151833425465266,0.8484251968503937,0.3109447980306445,0.5458314702495952,0.6122843466686619,0.8484251968503937
VFA (Volume),"Others, Probable NASH",0.8478260869565217,0.8478260869565217,,0.5817433986764635,0.5817433986764635,,0.8478260869565217
Alb,"None, NAFL, Probable NASH, NASH",0.8456554878048781,0.7180685358255452,0.5791919452691364,0.400482826181773,0.3749214618592761,0.1287243432995273,0.8456554878048781
VFA (Area),"Others, Probable NASH, NASH",0.84042921426099,0.84042921426099,0.5944307208623401,0.47304070323572595,0.47304070323572595,0.16290618407671148,0.84042921426099
Liver/Spleen HU,"Others, Probable NASH, NASH",0.8397369331948772,0.8397369331948772,0.661801033011453,-0.4720787495941688,-0.4720787495941688,-0.27912938318019176,0.8397369331948772
PLT,"Others, Cirrhosis",0.8395061728395061,0.8395061728395061,0.8395061728395061,-0.588187638647555,-0.588187638647555,-0.588187638647555,0.8395061728395061
VFI,"Others, Probable NASH",0.8365539452495974,0.8365539452495974,,0.5628906033489856,0.5628906033489856,,0.8365539452495974
