Feature,Subgroup Range,AUC >0,AUC >1,AUC >2,Spearman Corr >0,Spearman Corr >1,Spearman Corr >2,Max AUC,Max AUC,Mean AUC
Age,NAFL,1,0.506535948,0.645454545,-0.227591741,-0.006954434,0.092793193,1,0.645454545,0.717330164
Liver/Spleen Volume,Cirrhosis,0.642857143,0.790909091,0.96,-0.205879055,0.391722547,0.417606998,0.96,0.96,0.797922078
Spleen_Vl_Nor_WH,Cirrhosis,0.555555556,0.754545455,0.96,0.080064077,-0.342757228,-0.417606998,0.96,0.96,0.756700337
Spleen_Vl_Nor_WH,"Others, Cirrhosis",0.636363636,0.693877551,0.951923077,0.23032259,-0.194707155,-0.295700822,0.951923077,0.951923077,0.760721421
Liver/Spleen HU,"Others, NASH",0.889643463,0.945054945,0.9359375,-0.644795003,-0.765913929,-0.434160401,0.945054945,0.945054945,0.923545303
Liver (PDFF),"Others, Probable NASH",0.759259259,0.941391941,,0.433614293,0.692220145,,0.941391941,0.941391941,0.8503256
Spleen_Vl_Nor_BSA,Cirrhosis,0.507936508,0.827272727,0.94,-0.011437725,-0.440687865,-0.399450172,0.94,0.94,0.758403078
Spleen (Volume),Cirrhosis,0.515873016,0.827272727,0.94,0.022875451,-0.440687865,-0.399450172,0.94,0.94,0.761048581
LDL,NAFL,0.803571429,0.679738562,0.936363636,-0.146055554,-0.202145996,-0.294244303,0.936363636,0.936363636,0.806557876
LDL,"NAFL, Probable NASH",0.833333333,0.59039961,0.935643564,-0.123593824,-0.150339525,-0.227313341,0.935643564,0.935643564,0.786458836
SBP,"Others, Cirrhosis",0.614718615,0.685714286,0.932692308,0.193874329,0.186615688,0.283279821,0.932692308,0.932692308,0.744375069
LDL,"Others, NAFL, Probable NASH",0.548494398,0.568320748,0.927734375,0.076128826,-0.105835549,-0.201035427,0.927734375,0.927734375,0.681516507
Liver/Spleen HU,"Others, Probable NASH",0.822866345,0.927655678,,-0.539997923,-0.670678024,,0.927655678,0.927655678,0.875261011
Glucose,"Others, NAFL",0.601084184,0.638888889,0.926829268,0.165137499,0.123959522,0.225509883,0.926829268,0.926829268,0.722267447
Glucose,"Others, NAFL, Probable NASH",0.596813725,0.555016181,0.92578125,0.137923264,0.077341471,0.181605087,0.92578125,0.92578125,0.692537052
Liver/Spleen HU,"Others, Probable NASH, NASH",0.861885374,0.92545045,0.91765873,-0.52865021,-0.732889317,-0.342807053,0.92545045,0.92545045,0.901664852
Glucose,"Others, None, NAFL",0.572630495,0.638071895,0.924528302,0.125753532,0.10959393,0.198326196,0.924528302,0.924528302,0.711743564
Glucose,"Others, None, NAFL, Probable NASH",0.567684766,0.55424322,0.924342105,0.110920637,0.071474128,0.16648403,0.924342105,0.924342105,0.68209003
LDL,"None, NAFL, Probable NASH",0.612156863,0.603703704,0.924,-0.163833493,-0.155877308,-0.193928933,0.924,0.924,0.713286855
LDL,"Others, NAFL",0.582270408,0.652777778,0.923780488,0.145193693,-0.14730388,-0.241876653,0.923780488,0.923780488,0.719609558
TG,"Others, Cirrhosis",0.601010101,0.626530612,0.923076923,-0.170902721,-0.127290563,-0.277302357,0.923076923,0.923076923,0.716872545
CAP,"Others, None, NAFL",0.73231456,0.826797386,0.922169811,0.404099636,0.26059773,0.198139676,0.922169811,0.922169811,0.827093919
Liver/Spleen HU,"Others, None, NAFL, Probable NASH, NASH",0.805143756,0.922005288,0.894634146,-0.463931567,-0.674279344,-0.287891241,0.922005288,0.922005288,0.87392773
SBP,Cirrhosis,0.551587302,0.686363636,0.92,0.07441339,0.251177378,0.381642996,0.92,0.92,0.719316979
LDL,"Others, None, NAFL, Probable NASH",0.521398944,0.582968796,0.919407895,-0.03758381,-0.117166978,-0.17635188,0.919407895,0.919407895,0.674591878
Liver (PDFF),"Others, None, NAFL, Probable NASH",0.67760181,0.919218431,0.703947368,0.290956594,0.552208604,0.079989679,0.919218431,0.919218431,0.766922536
Liver/Spleen HU,NASH,0.916666667,0.918414918,0.903301887,-0.357334818,-0.696097314,-0.471663571,0.918414918,0.918414918,0.912794491
Liver (PDFF),Probable NASH,,0.918095238,,,0.721589674,,0.918095238,0.918095238,0.918095238
LDL,"None, NAFL",0.583214286,0.673333333,0.917721519,-0.137476781,-0.162351309,-0.231837049,0.917721519,0.917721519,0.724756379
Liver (PDFF),"Others, NAFL, Probable NASH",0.675770308,0.914778857,0.6796875,0.250313767,0.58287741,0.076612206,0.914778857,0.914778857,0.756745555
Liver/Spleen HU,"Others, NAFL, Probable NASH, NASH",0.811910377,0.91430303,0.882872928,-0.403521411,-0.682508858,-0.295431742,0.91430303,0.91430303,0.869695445
Liver/Spleen Volume,"Others, Cirrhosis",0.72005772,0.665306122,0.913461538,-0.371684602,0.166013469,0.270534795,0.913461538,0.913461538,0.766275127
Liver/Spleen HU,"Others, None, NAFL, Probable NASH",0.759426848,0.913385827,0.733552632,-0.425006659,-0.544525702,-0.091601084,0.913385827,0.913385827,0.802121769
LDL,"Others, None, NAFL",0.510130495,0.654411765,0.912735849,0.018416665,-0.128688802,-0.202453264,0.912735849,0.912735849,0.692426036
Liver/Spleen HU,"None, NAFL, Probable NASH, NASH",0.799392756,0.912195728,0.880337079,-0.374608621,-0.681544609,-0.295677029,0.912195728,0.912195728,0.863975188
Liver (PDFF),"None, NAFL, Probable NASH",0.691372549,0.911851852,0.684,0.263602848,0.583745131,0.079357539,0.911851852,0.911851852,0.762408134
CAP,"None, NAFL",0.722142857,0.802222222,0.908227848,0.357479719,0.275732328,0.220691806,0.908227848,0.908227848,0.810864309
Glucose,"None, NAFL, Probable NASH",0.524705882,0.528888889,0.908,0.034042215,0.040960012,0.176026284,0.908,0.908,0.653864924
Glucose,"NAFL, Probable NASH",0.691176471,0.521929825,0.905940594,-0.06496618,0.033425402,0.194129249,0.905940594,0.905940594,0.706348963
Liver (PDFF),"NAFL, Probable NASH",0.970588235,0.903508772,0.648514851,0.159850875,0.614774048,0.070993639,0.970588235,0.903508772,0.84087062
Liver/Spleen HU,"Others, NAFL, Probable NASH",0.764355742,0.902553038,0.69921875,-0.376467916,-0.565696802,-0.08493962,0.902553038,0.902553038,0.788709177
SMI,"Others, NAFL",0.711734694,0.777777778,0.902439024,0.345785811,0.247834944,0.212551476,0.902439024,0.902439024,0.797317165
Liver/Spleen HU,"Others, None, NAFL",0.712912088,0.901960784,0.83490566,-0.368537334,-0.318966359,-0.156414101,0.901960784,0.901960784,0.816592844
Liver/Spleen HU,"Probable NASH, NASH",0.890776699,0.90106383,0.89520202,-0.256804767,-0.689546984,-0.360087097,0.90106383,0.90106383,0.89568085
TG,Cirrhosis,0.523809524,0.586363636,0.9,-0.034323655,-0.116328146,-0.363247418,0.9,0.9,0.67005772
Liver/Spleen HU,"NAFL, Probable NASH, NASH",0.81509434,0.899969079,0.864285714,-0.187663156,-0.679463719,-0.301965516,0.899969079,0.899969079,0.859783044
CAP,"Others, NAFL",0.723533163,0.795940171,0.899390244,0.367216746,0.265603829,0.212190952,0.899390244,0.899390244,0.806287859
Liver/Spleen HU,"None, NAFL, Probable NASH",0.748235294,0.899259259,0.688,-0.341927464,-0.565896808,-0.081082703,0.899259259,0.899259259,0.778498184
Glucose,"None, NAFL",0.530714286,0.606666667,0.898734177,0.049164991,0.096802485,0.21441913,0.898734177,0.898734177,0.678705043
Glucose,NAFL,0.678571429,0.593137255,0.890909091,-0.081256397,0.099068531,0.24930081,0.890909091,0.890909091,0.720872591
HDL,NAFL,0.839285714,0.647058824,0.886363636,-0.156149425,0.158209516,-0.249214547,0.886363636,0.886363636,0.790902725
Liver (PDFF),"Others, Probable NASH, NASH",0.765424366,0.885585586,0.838293651,0.387737822,0.664217316,0.27766557,0.885585586,0.885585586,0.829767867
Liver/Spleen HU,"Others, NAFL",0.72002551,0.884615385,0.81097561,-0.359325617,-0.343156076,-0.164244322,0.884615385,0.884615385,0.805205502
LDL,"Others, Cirrhosis",0.546897547,0.589795918,0.884615385,-0.091438232,-0.104099997,-0.290505527,0.884615385,0.884615385,0.673769617
Liver/Spleen HU,"None, NAFL",0.698571429,0.884444444,0.797468354,-0.31777482,-0.348801665,-0.159921928,0.884444444,0.884444444,0.793494742
Liver (PDFF),"Others, None, NAFL, Probable NASH, NASH",0.714510332,0.88336384,0.82097561,0.326135183,0.612538103,0.234156288,0.88336384,0.88336384,0.806283261
DBP,"Others, None, NAFL",0.566964286,0.699346405,0.882075472,0.116001038,0.158309533,0.178582968,0.882075472,0.882075472,0.716128721
SMI,"Others, None, NAFL",0.603708791,0.741830065,0.882075472,0.179513346,0.19189846,0.178444256,0.882075472,0.882075472,0.742538109
